Captile,City Name,Region,Subregion,population
Saint-Denis,Réunion,Africa,Eastern Africa,840974
Bucharest,Romania,Europe,Eastern Europe,19861408
Moscow,Russian Federation,Europe,Eastern Europe,146599183
Kigali,Rwanda,Africa,Eastern Africa,11553188
Gustavia,Saint Barthélemy,Americas,Caribbean,9417
Jamestown,"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,4255
Basseterre,Saint Kitts and Nevis,Americas,Caribbean,46204
Castries,Saint Lucia,Americas,Caribbean,186000
Marigot,Saint Martin (French part),Americas,Caribbean,36979
Saint-Pierre,Saint Pierre and Miquelon,Americas,Northern America,6069
Kingstown,Saint Vincent and the Grenadines,Americas,Caribbean,109991
Apia,Samoa,Oceania,Polynesia,194899
City of San Marino,San Marino,Europe,Southern Europe,33005
São Tomé,Sao Tome and Principe,Africa,Middle Africa,187356
Riyadh,Saudi Arabia,Asia,Western Asia,32248200
Dakar,Senegal,Africa,Western Africa,14799859
Belgrade,Serbia,Europe,Southern Europe,7076372
Victoria,Seychelles,Africa,Eastern Africa,91400
Freetown,Sierra Leone,Africa,Western Africa,7075641
Singapore,Singapore,Asia,South-Eastern Asia,5535000
Philipsburg,Sint Maarten (Dutch part),Americas,Caribbean,38247
Bratislava,Slovakia,Europe,Eastern Europe,5426252
Ljubljana,Slovenia,Europe,Southern Europe,2064188
Honiara,Solomon Islands,Oceania,Melanesia,642000
Mogadishu,Somalia,Africa,Eastern Africa,11079000
Pretoria,South Africa,Africa,Southern Africa,55653654
King Edward Point,South Georgia and the South Sandwich Islands,Americas,South America,30
Seoul,Korea (Republic of),Asia,Eastern Asia,50801405
Juba,South Sudan,Africa,Middle Africa,12131000
Madrid,Spain,Europe,Southern Europe,46438422
Colombo,Sri Lanka,Asia,Southern Asia,20966000
Khartoum,Sudan,Africa,Northern Africa,39598700
Paramaribo,Suriname,Americas,South America,541638
Longyearbyen,Svalbard and Jan Mayen,Europe,Northern Europe,2562
Lobamba,Swaziland,Africa,Southern Africa,1132657
Stockholm,Sweden,Europe,Northern Europe,9894888
Bern,Switzerland,Europe,Western Europe,8341600
Damascus,Syrian Arab Republic,Asia,Western Asia,18564000
Taipei,Taiwan,Asia,Eastern Asia,23503349
Dushanbe,Tajikistan,Asia,Central Asia,8593600
Dodoma,"Tanzania, United Republic of",Africa,Eastern Africa,55155000
Bangkok,Thailand,Asia,South-Eastern Asia,65327652
Dili,Timor-Leste,Asia,South-Eastern Asia,1167242
Lomé,Togo,Africa,Western Africa,7143000
Fakaofo,Tokelau,Oceania,Polynesia,1411
Nuku'alofa,Tonga,Oceania,Polynesia,103252
Port of Spain,Trinidad and Tobago,Americas,Caribbean,1349667
Tunis,Tunisia,Africa,Northern Africa,11154400
Ankara,Turkey,Asia,Western Asia,78741053
Ashgabat,Turkmenistan,Asia,Central Asia,4751120
Cockburn Town,Turks and Caicos Islands,Americas,Caribbean,31458
Funafuti,Tuvalu,Oceania,Polynesia,10640
Kampala,Uganda,Africa,Eastern Africa,33860700
Kiev,Ukraine,Europe,Eastern Europe,42692393
Abu Dhabi,United Arab Emirates,Asia,Western Asia,9856000
London,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,65110000
"Washington, D.C.",United States of America,Americas,Northern America,323947000
Montevideo,Uruguay,Americas,South America,3480222
Tashkent,Uzbekistan,Asia,Central Asia,31576400
Port Vila,Vanuatu,Oceania,Melanesia,277500
Caracas,Venezuela (Bolivarian Republic of),Americas,South America,31028700
Hanoi,Viet Nam,Asia,South-Eastern Asia,92700000
Mata-Utu,Wallis and Futuna,Oceania,Polynesia,11750
El Aaiún,Western Sahara,Africa,Northern Africa,510713
Sana'a,Yemen,Asia,Western Asia,27478000
Lusaka,Zambia,Africa,Eastern Africa,15933883
Harare,Zimbabwe,Africa,Eastern Africa,14240168
